Date,Close, Volume, Open, High, Low
12/6/2016,160.35,2858766,160.13,160.79,158.93
12/5/2016,159.84,3446698,160.85,161.15,159.5875
12/2/2016,160.02,2740532,159,160.29,158.41
12/1/2016,159.82,4634638,161.95,162.195,158.3
11/30/2016,162.22,4397775,163.35,163.8,162.21
11/29/2016,163.53,3139540,164,164.41,163.03
11/28/2016,164.52,4438710,163.2,164.66,162.7
11/25/2016,163.14,1605344,161.83,163.19,161.83
11/23/2016,161.98,2256035,161.94,162.38,161.3557
11/22/2016,162.67,2770714,163,163,161.95
11/21/2016,162.77,4633131,160.69,163,160.3697
11/18/2016,160.39,2979264,159.8,160.72,159.21
11/17/2016,159.8,2260909,159.22,159.93,158.85
11/16/2016,159.29,2252655,158.46,159.55,158.03
11/15/2016,158.67,3475578,158.42,159.15,157.55
11/14/2016,158.21,5192889,161.25,161.86,157.58
11/11/2016,161.27,4446510,159.97,161.34,159.33
11/10/2016,160.22,7711608,157.66,161.16,157.59
11/9/2016,154.81,5403573,152.96,155.56,151
11/8/2016,155.17,3920344,154.56,155.93,153.06
11/7/2016,155.72,3746609,153.99,156.11,153.84
11/4/2016,152.43,2467966,152.4,153.64,151.87
11/3/2016,152.37,2878718,152.51,153.74,151.8
11/2/2016,151.95,3072611,152.48,153.345,151.67
11/1/2016,152.79,3187660,153.5,153.91,151.74
10/31/2016,153.69,3550358,152.76,154.33,152.76
10/28/2016,152.61,3654444,154.05,154.44,152.18
10/27/2016,153.35,4227704,152.82,154.06,152.02
10/26/2016,151.81,2811314,150.71,152.94,150.255
10/25/2016,150.88,2647416,150.69,151.16,149.83
10/24/2016,150.57,2662724,150.4,151.52,150.4
10/21/2016,149.63,4413601,150.58,151.15,149.56
10/20/2016,151.52,4020780,151.28,152.9,151.02
10/19/2016,151.26,4629444,151.27,152.45,150.83
10/18/2016,150.72,12764180,150.02,151,147.79
10/17/2016,154.77,5836054,154.45,155.89,154.34
10/14/2016,154.45,4357890,154.47,155.53,154.09
10/13/2016,153.72,2909898,153.7,154.22,152.27
10/12/2016,154.29,2959700,154.97,154.97,153.08
10/11/2016,154.79,2899603,156.73,156.95,153.89
10/10/2016,157.02,2467856,156.71,158.49,156.655
10/7/2016,155.67,2668385,157.14,157.7,154.86
10/6/2016,156.88,1949931,156.84,157.43,155.89
10/5/2016,157.08,1684298,157.07,157.83,156.72
10/4/2016,156.46,2884146,157.67,158.53,155.82
10/3/2016,157.61,2227749,158.06,158.37,157.02
9/30/2016,158.85,3596878,158.9,159.838,158.06
9/29/2016,158.11,3372183,158.63,165,157.46
9/28/2016,158.29,3309408,156.99,158.625,156.23
9/27/2016,156.77,2983602,154.32,156.77,153.81
9/26/2016,153.98,2533325,154.46,154.46,153.46
9/23/2016,154.98,2692083,155.62,156.04,154.71
9/22/2016,156.11,2690905,156.15,157.22,155.69
9/21/2016,155.53,2473895,154.91,155.68,153.87
9/20/2016,154.45,2159092,155.87,156.57,154.45
9/19/2016,154.87,2448148,154.87,156.19,154.55
9/16/2016,153.84,6429919,155.04,155.4,153.47
9/15/2016,155.66,3656413,154.3,156.33,153.21
9/14/2016,154.05,3858076,155.7,155.87,153.39
9/13/2016,155.81,3631768,157.63,157.93,155.5
9/12/2016,158.29,4366853,155.26,158.53,154.84
9/9/2016,155.69,5080266,158.03,158.4,155.65
9/8/2016,159,3928085,160.55,161.21,158.76
9/7/2016,161.64,2866127,160.19,161.76,160
9/6/2016,160.35,2994041,159.88,160.86,159.11
9/2/2016,159.55,2313289,159.88,160.57,159.15
9/1/2016,159.54,2351932,158.32,159.62,158.1
8/31/2016,158.88,2321269,159.66,159.66,158.26
8/30/2016,159.4,1808553,159.76,160.15,158.81
8/29/2016,159.72,2475853,158.83,160.21,158.5
8/26/2016,158.32,2498903,158.88,160.44,157.85
8/25/2016,158.63,2575023,159,159.54,158.42
8/24/2016,159.05,3618469,159.89,160.18,158.32
8/23/2016,160.26,2838137,160.33,161.34,160.23
8/22/2016,160,2038851,160,160.57,159.13
8/19/2016,160.04,2733579,160.84,160.91,159.52
8/18/2016,161.36,3650651,160.89,162,160.4401
8/17/2016,160.44,3225919,160.97,161.16,159.84
8/16/2016,160.7,2208382,161.11,161.93,160.69
8/15/2016,161.88,2967957,162.4,162.97,161.78
8/12/2016,161.95,2542495,163.19,163.46,161.52
8/11/2016,163.53,8768582,162.25,164.95,162.18
8/10/2016,162.08,2417982,162.19,162.66,161.955
8/9/2016,161.77,2734106,162.22,162.772,161.645
8/8/2016,162.04,3039081,162.73,163.27,161.58
